City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Saldanha,ZA,68.05,broken clouds,-33.0117,17.9442,Blue Bay Lodge
1,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
4,Rikitea,PF,77.27,broken clouds,-23.1203,-134.9692,People ThankYou
5,Kuching,MY,79.02,few clouds,1.55,110.3333,Hilton Kuching
6,Port Alfred,ZA,72.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
8,Kavaratti,IN,83.8,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
9,Busselton,AU,66.6,broken clouds,-33.65,115.3333,Observatory Guest House
10,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
13,Malanje,AO,67.91,light rain,-9.5402,16.341,Hotel Ginga
14,Carnarvon,AU,75.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
16,Cape Town,ZA,66.61,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
17,Puerto Ayora,EC,84.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Quatre Cocos,MU,78.91,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
21,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
24,Sattahip,TH,86.99,few clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
27,Hermanus,ZA,68.81,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
34,Atuona,PF,78.91,overcast clouds,-9.8,-139.0333,Villa Enata
36,Saint-Philippe,RE,76.59,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
41,Kavieng,PG,81.79,few clouds,-2.5744,150.7967,Nusa Island Retreat
43,Koulamoutou,GA,77.05,light rain,-1.1303,12.4736,Motel Bouenguidi
48,Opuwo,,79.88,scattered clouds,-18.0607,13.84,ABBA Guesthouse
49,Maldonado,UY,83.59,clear sky,-34.6667,-54.9167,La Cimarrona
51,Victoria,HK,70.18,overcast clouds,22.2855,114.1577,Mini Hotel Central
53,Nizwa,OM,79.65,clear sky,22.9333,57.5333,Orient Apartments
56,Iguape,BR,76.3,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
57,Calama,CL,72.09,clear sky,-22.4667,-68.9333,Park Hotel Calama
58,Meulaboh,ID,79.2,overcast clouds,4.1363,96.1285,Kost Pria
59,Butaritari,KI,80.91,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
61,Cabo San Lucas,MX,84.18,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
63,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
68,Los Arabos,CU,86.02,moderate rain,22.7281,-80.7214,Motel Los Pinos
69,Shujalpur,IN,84.43,clear sky,23.4,76.7167,Krishna Sweets
71,Ribeira Grande,PT,70.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
72,Flinders,AU,67.28,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
73,Acarau,BR,79.34,overcast clouds,-2.8856,-40.12,castelo pizzaria
74,Paita,PE,79.03,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
79,Los Llanos De Aridane,ES,66.13,scattered clouds,28.6585,-17.9182,Valle Aridane
81,La Romana,DO,84.56,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
83,Alice Springs,AU,69.22,few clouds,-23.7,133.8833,Desert Palms Alice Springs
84,Mar Del Plata,AR,66.22,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
86,Hithadhoo,MV,82.53,clear sky,-0.6,73.0833,Scoop Guest House
87,Pipri,IN,87.96,clear sky,19.8,75.5333,Sukhana River nilu and rushi home
88,Marzuq,YE,70.52,clear sky,14.4,46.4667,
89,Georgetown,MY,84.13,scattered clouds,5.4112,100.3354,Cititel Penang
91,Marawi,PH,67.46,overcast clouds,7.9986,124.2928,Derogongan Residence
92,Otjimbingwe,,80.31,scattered clouds,-22.35,16.1333,
93,Port Elizabeth,ZA,70.11,light intensity shower rain,-33.918,25.5701,39 On Nile Guest House
94,Callaway,US,80.98,broken clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
97,Luderitz,,65.08,scattered clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
102,Ambon,ID,77.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
103,Iberia,US,80.06,broken clouds,29.9502,-91.7507,back to back rv park
104,Obo,CF,82.71,scattered clouds,5.3998,26.4869,
105,Palmas,BR,73.27,heavy intensity rain,-10.2128,-48.3603,Hotel Lago da Palma
107,Soyo,AO,77.4,overcast clouds,-6.1349,12.3689,Hotel Mpampa
112,Pauini,BR,81.41,light rain,-7.7136,-66.9764,Casa do Kiwliks
114,Tagusao,PH,78.28,overcast clouds,9.1924,117.8141,Green Villa beach resort
116,Natal,BR,88.45,moderate rain,-5.795,-35.2094,Villa Park Hotel | Natal
117,Bredasdorp,ZA,65.34,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
118,Chuy,UY,84.33,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
120,Benemerito De Las Americas,MX,85.46,broken clouds,16.5167,-90.6439,Hotel Fontera Sur
122,Kloulklubed,PW,82.65,broken clouds,7.0419,134.2556,Storyboard Beach Resort
123,Namibe,AO,73.08,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
126,Ilebo,CD,74.68,broken clouds,-4.3167,20.5833,Hôtel BUMAK
132,Puerto Escondido,MX,86.41,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
135,Nishihara,JP,70.88,broken clouds,26.1842,127.7558,Minshuku Agaihama
136,Vila Velha,BR,87.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
139,Honiara,SB,78.17,overcast clouds,-9.4333,159.95,Heritage Park Hotel
140,Padre Bernardo,BR,88.88,overcast clouds,-15.35,-48.5,
142,Sao Joao Da Barra,BR,87.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
147,Hilo,US,68.25,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
149,Touros,BR,86.45,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
150,Kapaa,US,69.19,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
152,Luganville,VU,78.37,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
153,Roebourne,AU,83.89,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
156,Takoradi,GH,84.42,broken clouds,4.8845,-1.7554,Raybow International Hotel
158,Poum,NC,81.14,overcast clouds,-20.2333,164.0167,
160,Arraial Do Cabo,BR,80.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
161,Namatanai,PG,80.55,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
162,Porbandar,IN,80.4,clear sky,21.6422,69.6093,Lords Inn Porbandar
165,Matara,LK,77.81,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
166,Hansi,IN,85.48,clear sky,29.1,75.9667,Green Valley Lodge
168,Maryborough,AU,69.12,clear sky,-25.5333,152.7,Blue Shades Motel
171,Berbera,SO,79.97,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
172,Kuchinarai,TH,79.77,few clouds,16.541,104.05,โรงแรมแสงชัย
174,Ponta Do Sol,PT,70.72,clear sky,32.6667,-17.1,Hotel do Campo
177,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
179,Faya,SA,68.11,clear sky,18.3851,42.4509,املاك خالد الشعشوع
183,Tura,IN,74.35,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
186,Tautira,PF,81.27,scattered clouds,-17.7333,-149.15,Pension Oaoa
187,Itoman,JP,71.62,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
192,Ouadda,CF,85.59,scattered clouds,8.0777,22.4007,
193,Hambantota,LK,80.24,scattered clouds,6.1241,81.1185,Bungalow 63
194,Rocha,UY,85.12,clear sky,-34.4833,-54.3333,Hotel Arrarte
196,Cabinda,AO,77.14,broken clouds,-5.55,12.2,Hotel Maiombe
198,Banjar,ID,76.77,broken clouds,-8.19,114.9675,The Hamsa Resort
200,Ransang,PH,77.61,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
204,Nagapattinam,IN,82.49,clear sky,10.7667,79.8333,Sathya Lodge
206,Guerrero Negro,MX,66.18,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
207,Pedernales,DO,80.29,broken clouds,18.0384,-71.744,Hotel Costa Marina
208,Karratha,AU,84.25,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
209,Japura,ID,75.11,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
211,San Rafael Del Sur,NI,88.77,broken clouds,11.8485,-86.4384,Hospedaje El Chino
213,Phan Thiet,VN,77.88,broken clouds,10.9333,108.1,Hotel Saigon-PT
215,Lismore,AU,71.49,heavy intensity rain,-28.8135,153.2773,Dawson Motor Inn
217,Port-Gentil,GA,82.36,broken clouds,-0.7193,8.7815,Fengshui Residence
221,Pointe Michel,DM,86.94,few clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
225,Galesong,ID,73.42,overcast clouds,-5.3166,119.3661,Sapriadi Appy
228,Eydhafushi,MV,82.87,clear sky,5.1033,73.0708,Soneva Fushi
230,Abonnema,NG,86.72,light rain,4.7084,6.7931,Corper's Lodge Obonoma
