City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saldanha,ZA,2022-03-29 16:53:02,-33.0117,17.9442,68.05,80,64,7.56,broken clouds
1,Mahebourg,MU,2022-03-29 16:53:03,-20.4081,57.7,79.09,78,40,3.44,scattered clouds
2,Punta Arenas,CL,2022-03-29 16:53:03,-53.15,-70.9167,44.71,57,75,14.97,broken clouds
3,Parana,AR,2022-03-29 16:53:04,-31.732,-60.5238,90.57,57,71,8.57,broken clouds
4,Rikitea,PF,2022-03-29 16:53:04,-23.1203,-134.9692,77.27,70,56,3.76,broken clouds
5,Kuching,MY,2022-03-29 16:53:05,1.55,110.3333,79.02,94,20,3.44,few clouds
6,Port Alfred,ZA,2022-03-29 16:53:05,-33.5906,26.891,72.18,79,88,4.0,overcast clouds
7,Saskylakh,RU,2022-03-29 16:53:05,71.9167,114.0833,-28.39,100,95,3.91,overcast clouds
8,Kavaratti,IN,2022-03-29 16:53:06,10.5669,72.642,83.8,75,15,8.5,few clouds
9,Busselton,AU,2022-03-29 16:53:06,-33.65,115.3333,66.6,78,84,16.04,broken clouds
10,Port Blair,IN,2022-03-29 16:53:06,11.6667,92.75,80.64,94,40,2.3,mist
11,Bluff,NZ,2022-03-29 16:53:07,-46.6,168.3333,54.97,91,7,5.93,clear sky
12,Ilulissat,GL,2022-03-29 16:53:07,69.2167,-51.1,29.84,81,34,4.32,scattered clouds
13,Malanje,AO,2022-03-29 16:53:08,-9.5402,16.341,67.91,90,91,0.47,light rain
14,Carnarvon,AU,2022-03-29 16:53:08,-24.8667,113.6333,75.27,88,75,6.91,broken clouds
15,Thompson,CA,2022-03-29 16:49:45,55.7435,-97.8558,21.36,79,100,5.75,overcast clouds
16,Cape Town,ZA,2022-03-29 16:53:01,-33.9258,18.4232,66.61,75,20,17.27,few clouds
17,Puerto Ayora,EC,2022-03-29 16:53:09,-0.7393,-90.3518,84.16,90,46,5.01,scattered clouds
18,Tasiilaq,GL,2022-03-29 16:53:09,65.6145,-37.6368,25.32,74,100,15.86,overcast clouds
19,Quatre Cocos,MU,2022-03-29 16:53:09,-20.2078,57.7625,78.91,74,34,7.81,scattered clouds
